original,log_transform,sqrt_transform,boxcox_transform
7503,8.92319149068606,86.61985915481507,761.4454876309056
7504,8.923324744067562,86.62563131083085,761.5171230389275
7505,8.923457979694966,86.63140308225418,761.5887556267348
7506,8.923591197573002,86.6371744691619,761.6603853948149
7507,8.9237243977064,86.64294547163087,761.7320123436533
7508,8.923857580099885,86.64871608973787,761.8036364737382
7509,8.92399074475818,86.65448632355972,761.8752577855546
7510,8.924123891686012,86.66025617317318,761.9468762795893
7511,8.9242570208881,86.66602563865497,762.018491956328
7512,8.92439013236916,86.6717947200818,762.0901048162565
7513,8.924523226133914,86.67756341753038,762.1617148598613
7514,8.924656302187074,86.68333173107735,762.233322087626
7515,8.924789360533357,86.68909966079934,762.3049265000392
7516,8.924922401177469,86.69486720677297,762.3765280975834
7517,8.925055424124123,86.70063436907483,762.448126880745
7518,8.925188429378027,86.70640114778148,762.5197228500102
7519,8.925321416943886,86.71216754296942,762.5913160058607
7520,8.925454386826402,86.7179335547152,762.6629063487842
7521,8.925587339030281,86.72369918309528,762.7344938792638
7522,8.925720273560222,86.7294644281861,762.8060785977843
7523,8.925853190420922,86.73522929006414,762.8776605048287
7524,8.925986089617076,86.74099376880577,762.9492396008839
7525,8.926118971153382,86.74675786448736,763.0208158864318
7526,8.926251835034533,86.75252157718529,763.0923893619561
7527,8.926384681265215,86.75828490697589,763.1639600279414
7528,8.926517509850122,86.76404785393545,763.2355278848709
7529,8.92665032079394,86.76981041814025,763.3070929332273
7530,8.926783114101351,86.77557259966655,763.3786551734952
7531,8.926915889777042,86.78133439859057,763.4502146061567
7532,8.927048647825695,86.78709581498853,763.5217712316949
7533,8.927181388251986,86.7928568489366,763.5933250505933
7534,8.927314111060596,86.79861750051091,763.664876063333
7535,8.927446816256198,86.80437776978762,763.7364242703981
7536,8.92757950384347,86.81013765684283,763.8079696722704
7537,8.92771217382708,86.81589716175259,763.8795122694319
7538,8.927844826211702,86.82165628459296,763.9510520623636
7539,8.927977461002001,86.82741502543998,764.02258905155
7540,8.928110078202646,86.83317338436964,764.0941232374698
7541,8.928242677818302,86.83893136145792,764.1656546206069
7542,8.928375259853631,86.84468895678077,764.2371832014423
7543,8.928507824313293,86.85044617041412,764.3087089804574
7544,8.928640371201949,86.85620300243386,764.3802319581332
7545,8.928772900524256,86.86195945291587,764.4517521349497
7546,8.928905412284868,86.86771552193599,764.5232695113884
7547,8.92903790648844,86.87347120957007,764.5947840879312
7548,8.929170383139624,86.87922651589389,764.6662958650576
7549,8.92930284224307,86.88498144098322,764.7378048432473
7550,8.929435283803425,86.89073598491383,764.809311022982
7551,8.929567707825337,86.89649014776144,764.8808144047418
7552,8.929700114313448,86.90224392960172,764.9523149890064
7553,8.929832503272403,86.90799733051038,765.0238127762552
7554,8.92996487470684,86.91375035056306,765.0953077669681
7555,8.9300972286214,86.91950298983537,765.1667999616251
7556,8.93022956502072,86.92525524840292,765.238289360705
7557,8.930361883909434,86.93100712634129,765.3097759646876
7558,8.930494185292178,86.93675862372602,765.3812597740525
7559,8.930626469173578,86.94250974063263,765.4527407892778
7560,8.93075873555827,86.94826047713663,765.5242190108414
7561,8.930890984450878,86.95401083331349,765.5956944392246
7562,8.93102321585603,86.95976080923866,765.6671670749038
7563,8.931155429778348,86.96551040498757,765.7386369183579
7564,8.931287626222456,86.97125962063559,765.8101039700662
7565,8.931419805192975,86.97700845625813,765.8815682305044
7566,8.931551966694522,86.98275691193054,765.9530297001535
7567,8.931684110731714,86.98850498772812,766.0244883794895
7568,8.931816237309167,86.99425268372619,766.0959442689903
7569,8.931948346431495,87.0,766.1673973691338
7570,8.932080438103307,87.00574693662483,766.2388476803964
7571,8.932212512329214,87.01149349367589,766.3102952032574
7572,8.932344569113823,87.01723967122837,766.3817399381909
7573,8.93247660846174,87.02298546935747,766.4531818856769
7574,8.93260863037757,87.02873088813831,766.5246210461904
7575,8.932740634865914,87.03447592764606,766.5960574202087
7576,8.932872621931374,87.04022058795577,766.6674910082083
7577,8.933004591578547,87.04596486914255,766.7389218106653
7578,8.93313654381203,87.05170877128145,766.8103498280561
7579,8.933268478636418,87.05745229444749,766.8817750608563
7580,8.933400396056303,87.06319543871567,766.9531975095433
7581,8.93353229607628,87.06893820416096,767.0246171745904
7582,8.933664178700935,87.07468059085832,767.0960340564765
7583,8.933796043934858,87.08042259888269,767.1674481556747
7584,8.933927891782632,87.08616422830896,767.2388594726599
7585,8.934059722248843,87.09190547921202,767.3102680079098
7586,8.934191535338075,87.0976463516667,767.3816737618976
7587,8.934323331054905,87.10338684574785,767.4530767350983
7588,8.934455109403913,87.10912696153027,767.5244769279878
7589,8.934586870389676,87.11486669908874,767.59587434104
7590,8.934718614016768,87.12060605849801,767.6672689747302
7591,8.934850340289763,87.12634503983281,767.7386608295308
7592,8.934982049213234,87.13208364316786,767.8100499059185
7593,8.935113740791747,87.13782186857783,767.8814362043647
7594,8.935245415029874,87.14355971613737,767.952819725346
7595,8.935377071932177,87.14929718592113,768.0242004693343
7596,8.935508711503221,87.1550342780037,768.0955784368043
7597,8.935640333747571,87.16077099245967,768.1669536282295
7598,8.935771938669784,87.16650732936361,768.2383260440827
7599,8.935903526274423,87.17224328879004,768.3096956848361
7600,8.936035096566041,87.17797887081348,768.381062550965
7601,8.936166649549195,87.18371407550839,768.4524266429407
7602,8.936298185228436,87.18944890294927,768.5237879612373
7603,8.93642970360832,87.19518335321051,768.5951465063273
7604,8.936561204693394,87.20091742636656,768.6665022786815
7605,8.936692688488204,87.20665112249179,768.737855278774
7606,8.936824154997302,87.21238444166057,768.8092055070756
7607,8.936955604225226,87.21811738394725,768.8805529640607
7608,8.937087036176523,87.2238499494261,768.9518976501988
7609,8.937218450855731,87.22958213817145,769.0232395659629
7610,8.937349848267392,87.23531395025755,769.0945787118231
7611,8.93748122841604,87.24104538575865,769.1659150882533
7612,8.937612591306213,87.24677644474895,769.2372486957237
7613,8.937743936942443,87.25250712730265,769.3085795347052
