,재비산먼지 평균농도(㎍/㎥)
1466,17.0
1467,8.0
1468,5.0
1469,13.0
1470,22.0
1471,18.0
1472,17.0
1473,16.0
1474,11.0
1475,27.0
1476,8.0
1477,14.0
1478,52.0
1479,16.0
1480,18.0
1481,7.0
1482,15.0
1483,15.0
1484,45.0
1485,23.0
1486,21.0
1487,22.0
1488,15.0
1489,169.20999999999913
1490,14.0
1491,39.0
1492,37.0
1493,18.0
1494,19.0
1495,13.0
1496,46.0
1497,33.0
1498,101.0
1499,17.0
1500,31.0
1501,22.0
1502,40.0
1503,24.0
1504,48.0
1505,10.0
1506,48.0
1507,30.0
1508,18.0
1509,32.0
1510,17.0
1511,22.0
1512,9.0
1513,11.0
1514,16.0
1515,24.0
1516,13.0
1517,24.0
1518,19.0
1519,25.0
1520,20.0
1521,20.0
1522,16.0
1523,16.0
1524,13.0
1525,15.0
1526,16.0
1527,11.0
1528,7.0
1529,8.0
1530,14.0
1531,27.0
1532,16.0
1533,20.0
1534,19.0
1535,15.0
1536,22.0
1537,10.0
1538,4.0
1539,9.0
1540,33.0
1541,3.0
1542,55.0
1543,14.0
1544,16.0
1545,1.0
1546,1.0
1547,9.0
1548,49.0
1549,14.0
1550,11.0
1551,3.0
1552,6.0
1553,5.0
1554,4.0
1555,16.0
1556,19.0
1557,26.0
1558,43.0
1559,14.0
1560,18.0
1561,20.0
1562,15.0
1563,25.0
1564,47.0
1565,19.0
1566,11.0
1567,46.0
1568,16.0
1569,7.0
1570,5.0
1571,4.0
1572,8.0
1573,8.0
1574,9.0
1575,9.0
1576,4.0
1577,14.0
1578,20.0
1579,12.0
1580,14.0
1581,16.0
1582,51.0
1583,10.0
1584,7.0
1585,8.0
1586,40.0
1587,21.0
1588,22.0
1589,5.0
1590,11.0
1591,80.0
1592,18.0
1593,5.0
1594,7.0
1595,8.0
1596,3.0
1597,37.0
1598,4.0
1599,3.0
1600,14.0
1601,10.0
1602,9.0
1603,20.0
1604,29.0
1605,169.20999999999913
1606,8.0
1607,10.0
1608,14.0
1609,14.0
1610,26.0
1611,12.0
1612,12.0
1613,45.0
1614,16.0
1615,11.0
1616,18.0
1617,10.0
1618,13.0
1619,11.0
1620,17.0
1621,12.0
1622,10.0
1623,13.0
1624,11.0
1625,4.0
1626,3.0
1627,5.0
1628,7.0
1629,1.0
1630,2.0
1631,2.0
1632,5.0
1633,2.0
1634,7.0
1635,14.0
1636,5.0
1637,7.0
1638,9.0
1639,8.0
1640,9.0
1641,5.0
1642,7.0
1643,8.0
1644,12.0
1645,27.0
1646,6.0
1647,6.0
1648,65.0
1649,44.0
1650,31.0
1651,9.0
1652,6.0
1653,12.0
1654,21.0
1655,19.0
1656,3.0
1657,4.0
1658,38.0
1659,19.0
1660,9.0
1661,10.0
1662,9.0
1663,6.0
1664,6.0
1665,8.0
1666,11.0
1667,8.0
1668,19.0
1669,7.0
1670,43.0
1671,38.0
1672,6.0
1673,9.0
1674,11.0
1675,10.0
1676,19.0
1677,8.0
1678,10.0
1679,5.0
1680,6.0
1681,6.0
1682,11.0
1683,17.0
1684,8.0
1685,6.0
1686,19.0
1687,8.0
1688,9.0
1689,13.0
1690,18.0
1691,11.0
1692,10.0
1693,6.0
1694,5.0
1695,5.0
1696,5.0
1697,6.0
1698,5.0
1699,4.0
1700,4.0
1701,6.0
1702,18.0
1703,11.0
1704,12.0
1705,6.0
1706,14.0
1707,15.0
1708,19.0
1709,8.0
1710,5.0
1711,9.0
1712,11.0
1713,13.0
1714,10.0
1715,11.0
1716,8.0
1717,9.0
1718,3.0
1719,10.0
1720,10.0
1721,8.0
1722,6.0
1723,4.0
1724,3.0
1725,5.0
1726,16.0
1727,11.0
1728,9.0
1729,6.0
1730,3.0
1731,9.0
1732,4.0
1733,12.0
1734,7.0
1735,4.0
1736,7.0
1737,12.0
1738,30.0
1739,14.0
1740,43.0
1741,22.0
1742,13.0
1743,58.0
1744,37.0
1745,31.0
1746,15.0
1747,21.0
1748,7.0
1749,30.0
1750,5.0
1751,14.0
1752,52.0
1753,6.0
1754,10.0
1755,10.0
1756,3.0
1757,7.0
1758,10.0
1759,16.0
1760,16.0
1761,11.0
1762,10.0
1763,133.0
1764,14.0
1765,25.0
1766,8.0
1767,101.0
1768,3.0
1769,3.0
1770,8.0
1771,3.0
1772,3.0
1773,10.0
1774,19.0
1775,5.0
1776,24.0
1777,7.0
1778,27.0
1779,16.0
1780,14.0
1781,38.0
1782,22.0
1783,10.0
1784,15.0
1785,59.0
1786,21.0
1787,67.0
1788,27.0
1789,11.0
1790,18.0
1791,22.0
1792,17.0
1793,13.0
1794,12.0
1795,14.0
1796,22.0
1797,10.0
1798,26.0
1799,58.0
1800,16.0
1801,3.0
1802,12.0
1803,9.0
1804,3.0
1805,2.0
1806,13.0
1807,3.0
1808,24.0
1809,17.0
1810,17.0
1811,13.0
1812,8.0
1813,15.0
1814,11.0
1815,15.0
1816,15.0
1817,12.0
1818,25.0
1819,8.0
1820,13.0
1821,10.0
1822,13.0
1823,14.0
1824,16.0
1825,12.0
1826,24.0
1827,17.0
1828,22.0
1829,34.0
1830,19.0
1831,14.0
1832,12.0
1833,10.0
1834,13.0
1835,9.0
1836,46.0
1837,12.0
1838,6.0
1839,13.0
1840,16.0
1841,18.0
1842,26.0
1843,15.0
1844,19.0
1845,9.0
1846,35.0
1847,11.0
1848,17.0
1849,39.0
1850,12.0
1851,18.0
1852,14.0
1853,22.0
1854,16.0
1855,26.0
1856,25.0
1857,4.0
1858,4.0
1859,5.0
1860,8.0
1861,6.0
1862,7.0
1863,12.0
1864,15.0
1865,3.0
1866,4.0
1867,6.0
1868,10.0
1869,13.0
1870,3.0
1871,8.0
1872,7.0
1873,11.0
1874,8.0
1875,29.0
1876,10.0
1877,24.0
1878,169.20999999999913
1879,34.0
1880,16.0
1881,23.0
1882,12.0
1883,22.0
1884,29.0
1885,23.0
1886,13.0
1887,11.0
1888,17.0
1889,13.0
1890,58.0
1891,10.0
1892,48.0
1893,15.0
1894,35.0
1895,39.0
1896,26.0
1897,9.0
1898,5.0
1899,20.0
1900,32.0
1901,10.0
1902,18.0
1903,69.0
1904,9.0
1905,4.0
1906,12.0
1907,9.0
1908,25.0
1909,10.0
1910,19.0
1911,19.0
1912,2.0
1913,4.0
1914,2.0
1915,9.0
1916,8.0
1917,9.0
1918,15.0
1919,10.0
1920,7.0
1921,21.0
1922,20.0
1923,5.0
1924,4.0
1925,3.0
1926,5.0
1927,4.0
1928,9.0
1929,4.0
1930,3.0
1931,6.0
1932,6.0
1933,47.0
1934,8.0
1935,13.0
1936,7.0
1937,9.0
1938,13.0
1939,18.0
1940,22.0
1941,13.0
1942,11.0
1943,7.0
1944,5.0
1945,8.0
1946,7.0
1947,28.0
1948,7.0
1949,7.0
1950,7.0
1951,5.0
1952,17.0
1953,17.0
1954,11.0
1955,13.0
1956,13.0
1957,12.0
1958,10.0
1959,20.0
1960,18.0
1961,9.0
1962,22.0
1963,14.0
1964,17.0
